City,Property Type,Period Begin,Period End
Kent,All Residential,1/1/2020,1/31/2020
Kent,Condo/Co-op,1/1/2020,1/31/2020
Kent,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Kent,Single Family Residential,1/1/2020,1/31/2020
Kent,Townhouse,1/1/2020,1/31/2020
Kirkland,All Residential,1/1/2020,1/31/2020
Kirkland,Condo/Co-op,1/1/2020,1/31/2020
Kirkland,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Kirkland,Single Family Residential,1/1/2020,1/31/2020
Kirkland,Townhouse,1/1/2020,1/31/2020
Issaquah,All Residential,1/1/2020,1/31/2020
Issaquah,Condo/Co-op,1/1/2020,1/31/2020
Issaquah,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Issaquah,Single Family Residential,1/1/2020,1/31/2020
Issaquah,Townhouse,1/1/2020,1/31/2020
Seattle,All Residential,1/1/2020,1/31/2020
Seattle,Condo/Co-op,1/1/2020,1/31/2020
Seattle,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Seattle,Single Family Residential,1/1/2020,1/31/2020
Seattle,Townhouse,1/1/2020,1/31/2020
Olympia,All Residential,1/1/2020,1/31/2020
Olympia,Condo/Co-op,1/1/2020,1/31/2020
Olympia,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Olympia,Single Family Residential,1/1/2020,1/31/2020
Olympia,Townhouse,1/1/2020,1/31/2020
Sammamish,All Residential,1/1/2020,1/31/2020
Sammamish,Condo/Co-op,1/1/2020,1/31/2020
Sammamish,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Sammamish,Single Family Residential,1/1/2020,1/31/2020
Sammamish,Townhouse,1/1/2020,1/31/2020
Kenmore,All Residential,1/1/2020,1/31/2020
Kenmore,Condo/Co-op,1/1/2020,1/31/2020
Kenmore,Multi-Family (2-4 Unit),1/1/2020,1/31/2020
Kenmore,Single Family Residential,1/1/2020,1/31/2020
Kenmore,Townhouse,1/1/2020,1/31/2020
